Name,Component Type,Group Name,Group Type,Management Period Name,Group Pairing Number,Management Period Start Date,Management Period Days,Number Of Animals,Production Stage,Number Of Young Animals,Animals Are Milk Fed Only,Start Weight(kg),End Weight(kg),Average Daily Gain(kg),Milk Production,Milk Fat Content,Milk Protein Content As Percentage,Diet Name,Diet Additive Type,Methane Conversion Factor Of Diet(kg CH4 (kg CH4)^-1),Methane Conversion Factor Adjusted(%),Feed Intake(kg head^-1 day^-1),Crude Protein(kg kg^-1),Forage(% DM),TDN(% DM),Ash Content Of Diet(% DM),Starch(% DM),Fat(% DM),ME(MJ kg^-1),NDF(% DM),Dietary Net Energy Concentration,Housing Type,Gain Coefficient,User Defined Bedding Rate,Total Carbon Kilograms Dry Matter For Bedding,Total Nitrogen Kilograms Dry Matter For Bedding,Moisture Content Of Bedding Material,Activity Coefficient Of Feeding Situation(MJ day^-1 kg^-1),Maintenance Coefficient(MJ day^-1 kg^-1),Pasture Location,Methane Conversion Factor Of Manure(kg CH4 (kg CH4)^-1),N2O Direct Emission Factor(kg N2O-N (kg N)^-1),Emission Factor Volatilization,Volatilization Fraction,Emission Factor Leaching,Fraction Leaching,Ash Content(%),Methane Producing Capacity Of Manure,Fraction Of Organic Nitrogen Immobilized,Fraction Of Organic Nitrogen Nitrified,Fraction Of Organic Nitrogen Mineralized,Manure State Type,Ammonia Emission Factor For Manure Storage
Beef Stockers & Backgrounders,H.Core.Models.Animals.Beef.BackgroundingComponent,Heifers,Beef Backgrounder Heifer,Management period #1,0,2023-10-01,110,152.5,Growing And Finishing,0,FALSE,240,361,1.1,0,4,3.5,Default Diet,None,0.063,0,0,12.28,65,68.825,6.57,25.825,3.045,2.48,42.025,0,Confined No Barn,1,1.5,0.447,0.0057,9.57,0,0.322,Default Pasture,0.26,0.01,0.005,0.25,0.011,0.035,8,0.19,0,0.125,0.28,Deep Bedding,0.35
Beef Finishers,H.Core.Models.Animals.Beef.FinishingComponent,Steers,Beef Finishing Steer,Management period #1,0,2023-10-01,120,152.5,Growing And Finishing,0,FALSE,400,600,1.67,0,4,3.5,Default Diet,None,0.063,0,0,13.5,60,70,7.0,20,4.0,2.5,40,0,Confined No Barn,1,2.0,0.500,0.006,10.0,0,0.322,Default Pasture,0.26,0.01,0.005,0.25,0.011,0.035,8,0.19,0,0.125,0.28,Deep Bedding,0.35
